title,event_url,created_at_utc,updated_at_utc,forecast_method,forecast_source_name,forecast_source_url,forecast_text,forecast_target_raw,forecast_target_unit,forecast_target_market_unit,market_unit,latitude,longitude,timezone_name,picked_outcome_label,entry_yes_midpoint,entry_yes_bid,entry_yes_ask,latest_yes_midpoint,latest_yes_bid,latest_yes_ask,latest_spread,best_mid_seen,best_mid_seen_at_utc,best_exit_bid_seen,best_exit_bid_seen_at_utc,gross_pnl_if_exit_now,gross_pnl_at_best_exit
Highest temperature in Denver on April 18?,https://polymarket.com/event/highest-temperature-in-denver-on-april-18-2026,2026-04-18T21:06:37+00:00,2026-04-18T21:06:37+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=39.73915&longitude=-104.9847&daily=temperature_2m_max&start_date=2026-04-18&end_date=2026-04-18&temperature_unit=fahrenheit&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Denver on 2026-04-18,57.4,F,57.0,F,39.73915,-104.9847,America/Denver,Will the highest temperature in Denver be 47°F or below on April 18?,0.0005,0.0,0.001,0.0005,0.0,0.001,0.001,0.0005,2026-04-18T21:06:37+00:00,0.0,2026-04-18T21:06:37+00:00,-0.001,-0.001
Highest temperature in Houston on April 18?,https://polymarket.com/event/highest-temperature-in-houston-on-april-18-2026,2026-04-18T21:06:37+00:00,2026-04-18T21:06:37+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=29.76328&longitude=-95.36327&daily=temperature_2m_max&start_date=2026-04-18&end_date=2026-04-18&temperature_unit=fahrenheit&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Houston on 2026-04-18,82.7,F,83.0,F,29.76328,-95.36327,America/Chicago,Will the highest temperature in Houston be 65°F or below on April 18?,,,,,,,,,,,,,
Highest temperature in Los Angeles on April 18?,https://polymarket.com/event/highest-temperature-in-los-angeles-on-april-18-2026,2026-04-18T21:06:37+00:00,2026-04-18T21:06:37+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=34.05223&longitude=-118.24368&daily=temperature_2m_max&start_date=2026-04-18&end_date=2026-04-18&temperature_unit=fahrenheit&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Los Angeles on 2026-04-18,83.7,F,84.0,F,34.05223,-118.24368,America/Los_Angeles,Will the highest temperature in Los Angeles be 53°F or below on April 18?,,,,,,,,,,,,,
Highest temperature in San Francisco on April 18?,https://polymarket.com/event/highest-temperature-in-san-francisco-on-april-18-2026,2026-04-18T21:06:37+00:00,2026-04-18T21:06:37+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=37.77493&longitude=-122.41942&daily=temperature_2m_max&start_date=2026-04-18&end_date=2026-04-18&temperature_unit=fahrenheit&timezone=auto,Open-Meteo daily temperature_2m_max forecast for San Francisco on 2026-04-18,73.2,F,73.0,F,37.77493,-122.41942,America/Los_Angeles,Will the highest temperature in San Francisco be 49°F or below on April 18?,,,,,,,,,,,,,
Highest temperature in Moscow on April 18?,https://polymarket.com/event/highest-temperature-in-moscow-on-april-18-2026,2026-04-18T21:06:37+00:00,2026-04-18T21:06:37+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=55.75222&longitude=37.61556&daily=temperature_2m_max&start_date=2026-04-18&end_date=2026-04-18&temperature_unit=celsius&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Moscow on 2026-04-18,9.7,C,10.0,C,55.75222,37.61556,Europe/Moscow,Will the highest temperature in Moscow be 10°C on April 18?,0.9995,0.999,1.0,0.9995,0.999,1.0,0.0010000000000000009,0.9995,2026-04-18T21:06:37+00:00,0.999,2026-04-18T21:06:37+00:00,-0.0010000000000000009,-0.0010000000000000009
Highest temperature in Istanbul on April 18?,https://polymarket.com/event/highest-temperature-in-istanbul-on-april-18-2026,2026-04-18T21:06:37+00:00,2026-04-18T21:06:37+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=41.01384&longitude=28.94966&daily=temperature_2m_max&start_date=2026-04-18&end_date=2026-04-18&temperature_unit=celsius&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Istanbul on 2026-04-18,14.5,C,15.0,C,41.01384,28.94966,Europe/Istanbul,Will the highest temperature in Istanbul be 10°C on April 18?,,,,,,,,,,,,,
Highest temperature in Amsterdam on April 18?,https://polymarket.com/event/highest-temperature-in-amsterdam-on-april-18-2026,2026-04-18T21:06:37+00:00,2026-04-18T21:06:37+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=52.37403&longitude=4.88969&daily=temperature_2m_max&start_date=2026-04-18&end_date=2026-04-18&temperature_unit=celsius&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Amsterdam on 2026-04-18,15.1,C,15.0,C,52.37403,4.88969,Europe/Amsterdam,Will the highest temperature in Amsterdam be 10°C or below on April 18?,,,,,,,,,,,,,
Highest temperature in Helsinki on April 18?,https://polymarket.com/event/highest-temperature-in-helsinki-on-april-18-2026,2026-04-18T21:06:37+00:00,2026-04-18T21:06:37+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=60.16952&longitude=24.93545&daily=temperature_2m_max&start_date=2026-04-18&end_date=2026-04-18&temperature_unit=celsius&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Helsinki on 2026-04-18,11.4,C,11.0,C,60.16952,24.93545,Europe/Helsinki,Will the highest temperature in Helsinki be 10°C on April 18?,,,,,,,,,,,,,
Highest temperature in Panama City on April 18?,https://polymarket.com/event/highest-temperature-in-panama-city-on-april-18-2026,2026-04-18T21:06:37+00:00,2026-04-18T21:06:37+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=8.9936&longitude=-79.51973&daily=temperature_2m_max&start_date=2026-04-18&end_date=2026-04-18&temperature_unit=celsius&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Panama City on 2026-04-18,34.4,C,34.0,C,8.9936,-79.51973,America/Panama,Will the highest temperature in Panama City be 22°C or below on April 18?,,,,,,,,,,,,,
Highest temperature in Jeddah on April 18?,https://polymarket.com/event/highest-temperature-in-jeddah-on-april-18-2026,2026-04-18T21:06:37+00:00,2026-04-18T21:06:37+00:00,open_meteo,Open-Meteo,https://api.open-meteo.com/v1/forecast?latitude=21.49012&longitude=39.18624&daily=temperature_2m_max&start_date=2026-04-18&end_date=2026-04-18&temperature_unit=celsius&timezone=auto,Open-Meteo daily temperature_2m_max forecast for Jeddah on 2026-04-18,39.8,C,40.0,C,21.49012,39.18624,Asia/Riyadh,Will the highest temperature in Jeddah be 33°C or below on April 18?,,,,,,,,,,,,,
